,Cerebral Ventriculomegaly,,2133,C50803,E0105,Abnormal enlargement of the cerebral ventricles.,MedDRA:10068352:Cerebral ventriculomegaly,,,,Term was modified on 21 January 2021 (old term: Cerebral Ventriculomeglia).,E01|E0105,,
,Cerebrospinal Fluid Leakage,,1772,C50487,E0106,The loss of cerebrospinal fluid into the surrounding tissues or outside the body.,MedDRA:10008164:Cerebrospinal fluid leakage,,,Modified (technical),Definition modified for Release Number 2024. See no. 6 of Change Log,E01|E0106,,
,Cognitive Changes,,2551,C50457,E0107,"Changes in perception, thinking, or remembering.",MedDRA:10057668:Cognitive disorder,,,,,E01|E0107,,
,,Confusion/ Disorientation,2553,C37928,E010701,A mental state characterized by a lack of clear and orderly thought and behavior.,MedDRA:10010300:Confusion,,,,,E01|E0107|E010701,,
,,Dementia,4405,C4786,E010702,Loss of intellectual abilities interfering with an individual's social and occupational functions.,MedDRA:10012267:Dementia,,,,,E01|E0107|E010702,,
,Concussion,,2192,C50502,E0108,Traumatic brain injury as a result of the action of a mechanical force on the head.,MedDRA:10010254:Concussion,Nervous System,Injury,,,E01|E0108,,
,Convulsion/Seizure,,4406,C2962,E0109,"Sudden, involuntary skeletal muscular contractions of cerebral or brain stem origin.",MedDRA:10010904:Convulsion,,,,,E01|E0109,,
,,"Convulsion, Clonic",2222,C50496,E010901,A convulsion marked by alternating contracting and relaxing of the muscles.,MedDRA:10053398:Clonic convulsion,,,,,E01|E0109|E010901,,
,,"Convulsion, Tonic",2223,C50776,E010902,A convulsion marked by prolonged contraction of the muscles.,MedDRA:10043994:Tonic convulsion,,,,,E01|E0109|E010902,,
,,Epilepsy,4407,C3020,E010903,Epilepsy caused or apparently caused by device. Do not use when epilepsy is a pre-existing condition.,MedDRA:10015037:Epilepsy,,,,,E01|E0109|E010903,,
,,Status Epilepticus,4408,C85079,E010904,A life-threatening condition characterised by a single prolonged seizure or a series of seizures without intervening full recovery of consciousness.,MedDRA:10041962:Status epilepticus,,,,Editorial change to the definition on 16 February 2021.,E01|E0109|E010904,,
,Decreased Sensitivity,,2683,C73504,E0110,Lower capacity to notice through one or more senses.,MedDRA:10071552:Hyporesponsive to stimuli,,,,,E01|E0110,,
,Increased Sensitivity,,4538,C73503,E0111,Higher capacity to notice through one or more senses.,MedDRA:10082489:Hyperresponsive to stimuli,,,,,E01|E0111,,
,Dizziness,,2194,C37943,E0112,"A sensation of lightheadedness, unsteadiness, turning, spinning or rocking.",MedDRA:10013573:Dizziness,,,,,E01|E0112,,
,Dysphasia,,2195,C35546,E0113,"Impairment of verbal communication skills, often resulting from brain damage.",MedDRA:10013951:Dysphasia,,,,,E01|E0113,,
,,Aphonia,4409,C79539,E011301,Inability to speak.,MedDRA:10002953:Aphonia,,,,,E01|E0113|E011301,,
,Encephalitis,,2429,C26760,E0114,An acute inflammatory process affecting the brain parenchyma.,MedDRA:10014581:Encephalitis,Nervous System,Infections,,,E01|E0114,,
,Encephalopathy,,1833,C26920,E0115,A functional and/or structural disorder of the brain that is acquired or congenital and characterised by mental and neurological symptoms.,MedDRA:10014625:Encephalopathy,,,,Editorial change to the definition on 16 February 2021.,E01|E0115,,
,Headache,,1880,C34661,E0116,"Pain in various parts of the head, not confined to the area of distribution of any nerve.",MedDRA:10019211:Headache,Nervous System,Generalized Disorders,,,E01|E0116,,
,Hydrocephalus,,3272,C3111,E0117,A disorder characterized by an abnormal increase of cerebrospinal fluid in the ventricles of the brain.,MedDRA:10020508:Hydrocephalus,,,,,E01|E0117,,
,Intracranial Hemorrhage,,1891,C50438,E0118,Bleeding within the cranium.,MedDRA:10022763:Intracranial hemorrhage,,,,,E01|E0118,,
,Loss of consciousness,,2418,C50635,E0119,A level of awareness that can be described as consistently not responsive to stimuli.,MedDRA:10024855:Loss of consciousness,,,,,E01|E0119,,
,,Coma,2417,C34497,E011901,A state of profound unconsciousness associated with markedly depressed cerebral activity.,MedDRA:10010071:Coma,,,,,E01|E0119|E011901,,
,,Presyncope,4410,C80100,E011902,Extremely weak; threatened with syncope.,MedDRA:10036653:Presyncope,,,,,E01|E0119|E011902,,
,,Syncope/Fainting,4411,C35053,E011903,"A spontaneous, transient, loss of consciousness caused by insufficient blood supply to the brain.",MedDRA:10042772:Syncope,,,,,E01|E0119|E011903,,
,Memory Loss/Impairment,,1958,C2867,E0120,"Systematic and extensive loss or impairment of memory caused by organic or psychological factors. This may be temporary or permanent, and may involve old or recent memories.",MedDRA:10027176:Memory loss,,,,,E01|E0120,,
,Meningitis,,2389,C26828,E0121,A disorder characterized by acute inflammation of the meninges of the brain and/or spinal cord.,MedDRA:10027199:Meningitis,Nervous System,Infections,,,E01|E0121,,
,Movement Disorder,,4412,C116757,E0122,"Neurological conditions resulting in abnormal voluntary or involuntary movement, which may impact the speed, fluency, quality and ease of movement.",MedDRA:10028035:Movement disorder,,,,,E01|E0122,,
,,Dyskinesia,2363,C50539,E012201,"Difficulty moving; distortion or impairment of voluntary movement, as in tic, spasm, or myoclonus.",MedDRA:10013916:Dyskinesia,,,,,E01|E0122|E012201,,
,,Paralysis,1997,C3310,E012202,Partial or complete loss of function of one or more muscles. It is usually caused by damage to the nervous system.,MedDRA:10033799:Paralysis,,,,,E01|E0122|E012202,,
,,Paraplegia,2448,C50687,E012203,Paralysis of the legs and lower part of the body.,MedDRA:10033892:Paraplegia,,,,,E01|E0122|E012203,,
,,Paresis,1998,C50688,E012204,A slight or incomplete paralysis.,MedDRA:10033985:Paresis,,,,,E01|E0122|E012204,,
,,Quadriplegia,2449,C50721,E012205,Paralysis of all four limbs.,MedDRA:10037714:Quadriplegia,,,,,E01|E0122|E012205,,
,,Shaking/Tremors,2515,C38038,E012206,"The shaking movement of the whole body or just a certain part of it, often caused by problems of the neurons responsible for muscle action.",MedDRA:10040528:Shaking,,,,,E01|E0122|E012206,,
,,Twitching,2172,C50785,E012207,The occurrence of a single contraction or a series of contractions of a muscle.,MedDRA:10045198:Twitching,,,,,E01|E0122|E012207,,
,,Restless Legs Syndrome,4584,C84501,E012208,A condition that is characterized by an irresistible urgency to move the legs to obtain relief from a strange and uncomfortable sensation in the legs.,MedDRA:10058920:Restless legs syndrome,,,,"Term was added on 27 January 2022. For details, see comment No. 85 of the Change Log (Release Number 2022).",E01|E0122|E012208,,
,,Facial Paralysis,4585,C26769,E012209,A partial or complete loss of function of one or more of the facial muscles resulting in paralysis of the facial regions. Includes both central and peripheral facial paralysis or palsy.,MedDRA:10016062:Facial paralysis,,,,"Term was added on 27 January 2022. For details, see comment No. 242 / 243 / 244 / 245 of the Change Log (Release Number 2022).",E01|E0122|E012209,,
,Nerve Damage,,1979,C50669,E0123,Injury to nervous tissue.,MedDRA:10029177:Nerve damage,Nervous System,Injury,,,E01|E0123,,
,,Optical Nerve Damage,1986,C50849,E012301,Injury to optical nerve.,MedDRA:10030938:Optic nerve injury,Nervous System,Injury,,,E01|E0123|E012301,,
,Nervous System Injury,,2689,C4974,E0124,Injury to the central or peripheral nervous system.,MedDRA:10080898:Nervous system injury,Nervous System,Injury,,,E01|E0124,,
,,Spinal Cord Injury,2432,C50750,E012401,Traumatic damage of the spinal cord.,MedDRA:10041552:Spinal cord injury,Nervous System,Injury,,,E01|E0124|E012401,,
,Neuralgia,,4413,C79695,E0125,Intense painful sensation along a nerve or group of nerves.,MedDRA:10029223:Neuralgia,,,,,E01|E0125,,
,Neuropathy,,1983,C4731,E0126,"A disorder affecting the cranial nerves or the peripheral nervous system. It manifests with pain, tingling, numbness, and muscle weakness.",MedDRA:10029328:Neuropathy,,,,,E01|E0126,,
,Numbness,,2415,C34857,E0127,The loss of the sensation of feeling in an area of the body.,MedDRA:10029829:Numbness,,,,,E01|E0127,,
,Peripheral Nervous Injury,,4414,C101250,E0128,Injury to the peripheral nervous system.,MedDRA:10034586:Peripheral nerve injury,Nervous System,Injury,,,E01|E0128,,
,Sensitivity of Teeth,,2427,C50778,E0129,"Pain or discomfort caused by exposure of the dentin layer of tooth to thermal, tactile, or other stimuli.",MedDRA:10040012:Sensitivity of teeth,,,,,E01|E0129,,
,Sleep Dysfunction,,2517,C3376,E0130,"A change from the patient's baseline sleeping pattern, in the hours slept and/or an alteration/dysfunction in the stages of sleep.",MedDRA:10040984:Sleep disorder,,,,,E01|E0130,,
,Speech Disorder,,4415,C5041,E0131,"A term referring to disorders characterized by the disruption of normal speech. It includes stuttering, lisps, dysarthria and voice disorders.",MedDRA:10041466:Speech disorder,,,,,E01|E0131,,
,Spinal Arachnoiditis,,4416,C50749,E0132,"A chronic adhesive arachnoiditis in the spinal arachnoid, with root and spinal cord symptoms similar to those caused by pressure from a tumor.",MedDRA:10068160:Spinal arachnoiditis,,,,,E01|E0132,,
,Stroke/CVA,,1770,C3390,E0133,A sudden loss of neurological function secondary to hemorrhage or ischemia in the brain parenchyma due to a vascular event.,MedDRA:10042244:Stroke,,,,,E01|E0133,,
,,Hemorrhagic Stroke,4417,C95803,E013301,An acute neurological deficit caused by bleeding within the brain or between the brain and the skull.,MedDRA:10048863:Hemorrhagic stroke,,,,,E01|E0133|E013301,,
,,Ischemia Stroke,4418,C95802,E013302,"An ischemic condition of the brain, producing a persistent focal neurological deficit in the area of distribution of the cerebral arteries.",MedDRA:10055221:Ischemic stroke,,,,,E01|E0133|E013302,,
,Tactile Disorders,,4419,C172036,E0134,conditions characterized by an alteration in the ability to or perception of touch.,MedDRA:10062872:Dysesthesia,,,,,E01|E0134,,
,,Hyperesthesia,4420,C116376,E013401,Increased sensitivity to tactile stimulation.,MedDRA:10020622:Hyperesthesia,,,,,E01|E0134|E013401,,
,,Hypoesthesia,2352,C50445,E013402,Impairment of tactile sensitivity manifesting as partial loss of sensitivity to sensory stimuli.,MedDRA:10020976:Hypoesthesia,,,,,E01|E0134|E013402,,
,,Paresthesia,4421,C28177,E013403,"Abnormal touch sensations, such as burning or prickling, that occur without an outside stimulus.",MedDRA:10033987:Paresthesia,,,,,E01|E0134|E013403,,
,Taste Disorder,,4422,C172037,E0135,Conditions characterized by an alteration in taste function or perception,MedDRA:10082490:Taste disorder,,,,Editorial change to the definition on 16 February 2021.,E01|E0135,,
,,Ageusia,4423,C116374,E013501,Inability to taste.,MedDRA:10001480:Ageusia,,,,,E01|E0135|E013501,,
,,Dysgeusia,4424,C28145,E013502,Distortion of taste.,MedDRA:10013911:Dysgeusia,,,,,E01|E0135|E013502,,
,Tics/Tremor,,4425,C116725,E0136,"An involuntary, compulsive, repetitive stereotyped movement.",MedDRA:10066770:Motor tic,,,,,E01|E0136,,
,Transient Ischemic Attack,,2109,C50781,E0137,"A brief attack (from a few minutes to an hour) of cerebral dysfunction of vascular origin, with no persistent neurological deficit.",MedDRA:10072760:Transient ischemic attack,,,,,E01|E0137,,
,Undesired Nerve Stimulation,,1980,C50787,E0138,Unintended reaction in nerve system caused by electrical stimulation.,MedDRA:10068145:Undesired device stimulation of nerve,,,,,E01|E0138,,
,Unspecified Nervous System Problem,,4426,C26835,E0139,"The report describes a non-specific problem with the nervous system. Note: Please use ""Appropriate Term / Code Not Available"" if the report describes a specific injury but the relevant term does not exist.",,,,,Term was added on 18 March 2020 for cases where the category of a health effect was reported but with no further details.,E01|E0139,,
,Intracranial Pressure Increased,,4586,C187268,E0140,Pressure within the craniospinal compartment is increased.,MedDRA:10022773:Intracranial pressure increased,,,,"Term was added on 27 January 2022. For details, see comment No. 86 of the Change Log (Release Number 2022).",E01|E0140,,
,Pneumocephalus,,4587,C127829,E0141,The presence of air or gas within the cranial cavity.,MedDRA:10048736:Pneumocephalus,,,,"Term was added on 27 January 2022. For details, see comment No. 212 of the Change Log (Release Number 2022).",E01|E0141,,
,Idiopathic Intracranial Hypertension,,4588,C85035,E0142,"A condition that mimics the presence of a tumour (Pseudotumour Cerebri) or hydrocephalus, caused by chronic  increase in intracranial pressure.",MedDRA:10078904:Idiopathic intracranial hypertension,,,,"Term was added on 27 January 2022. For details, see comment No. 219 of the Change Log (Release Number 2022).",E01|E0142,,
,Altered State of Consciousness,,4589,C121627,E0143,A level of awareness and arousal other than normal.,MedDRA:10001854:Altered state of consciousness,,,,"Term was added on 27 January 2022. For details, see comment No. 77 of the Change Log (Release Number 2022).",E01|E0143,,
,,Increased Level of Consciousness,4590,C187270,E014301,A neurological state characterised by increased ability to perceive and respond.,MedDRA:10021683:Increased state of alertness,,,,"Term was added on 27 January 2022. For details, see comment No. 77 of the Change Log (Release Number 2022).",E01|E0143|E014301,,
,,Decreased Level  of Consciousness,4591,C78253,E014302,A neurological state characterised by decreased ability to perceive and respond.,MedDRA:10012373:Depressed level of consciousness,,,,"Term was added on 27 January 2022. For details, see comment No. 77 of the Change Log (Release Number 2022).",E01|E0143|E014302,,
,Dural Tear,,1417,C206558,E0144,"Injury to the dura mater, with or without damage to any other layer of the meninges.",MedDRA:10063395:Dural Tear,Nervous System,Procedural Complications,New,Term added for Release Number 2024. See no. 22 of Change Log,E01|E0144,,
,Acoustic Shock,,1693,C50452,E0901,Neurophysiological and psychological symptoms caused by sudden and unexpected loud noise.,MedDRA:10068150:Acoustic shock,Ear and Labyrinth,Nervous System,,,E01|E0901,,
,Tinnitus,,2103,C50772,E0904,"A noise in the ears, such as ringing, buzzing, roaring or clicking in the absence of auditory stimulation.",MedDRA:10043882:Tinnitus,Ear and Labyrinth,Nervous System,,,E01|E0904,,
,Perinatal Brain Injury,,1852,C73501,E1513,Injury to the brain of a newborn infant occurring around the time of birth.,MedDRA:10056392:Perinatal brain damage,"Pregnancy, Childbirth and the Puerperium",Nervous System,,,E01|E1513,,
,Muscle Weakness/Atrophy,,1967,C187271,E1621,A reduction in the strength and/or mass of one or more muscles.,MedDRA:10028350:Muscle weakness,Musculoskeletal System,Nervous System,,"Term/Definition was modified on 27 January 2022 (Old term/definition: Muscle Weakness: A reduction in the strength of one or more muscles.) For details, see comment No. 120 of the Change Log (Release Number 2022).",E01|E1621,,
,Complex regional pain syndrome,,4899,C206547,E2125,"Condition where a person experiences persistent severe and debilitating pain, involving an extremity or other body region, hyperesthesia, and localized autonomic dysfunction following injury to soft tissue or nerve",MedDRA:10064332:Complex regional pain syndrome,Procedural Complications,Nervous System,New,Term added for Release Number 2024. See no. 56 of Change Log,E01|E2125,,
"Mental, Emotional and Behavioural Disorders",,,,,E02,"Mental, Emotional and Behavioural Disorders",,,,Not selectable,Please use more detailed term within the hierarchy,E02,,
,Bruxism,,4427,C73511,E0201,Excessive clenching of the jaw and grinding of the teeth.,MedDRA:10006514:Bruxism,,,,,E02|E0201,,
,Emotional Changes,,1831,C50489,E0202,Change from the affected person's usual emotional state.,MedDRA:10014551:Emotional disorder,,,,,E02|E0202,,
,,Anxiety,2328,C26696,E020201,"Apprehension or uneasiness which may be accompanied by restlessness, tension, tachycardia, and dyspnea.",MedDRA:10002855:Anxiety,,,,,E02|E0202|E020201,,
,,Depression,2361,C2982,E020202,"A condition marked by ongoing feelings of sadness, despair, loss of energy, diminished interest/pleasure and difficulty dealing with normal daily life.",MedDRA:10012378:Depression,,,,,E02|E0202|E020202,,
,,Distress,2329,C37942,E020203,A state of physiological or psychological stress that cannot be compensated for by normal adaptive measures.,MedDRA:10049119:Emotional distress,,,,,E02|E0202|E020203,,
,,Malaise,2359,C3832,E020204,"A feeling of general discomfort or uneasiness, an out-of-sorts feeling.",MedDRA:10025482:Malaise,,,,,E02|E0202|E020204,,
,,Irritability,2421,C50623,E020205,A feeling of agitation. Tending to become frustrated or upset easily.,MedDRA:10022998:Irritability,,,,,E02|E0202|E020205,,
,Hallucination,,4428,C37961,E0203,A false sensory perception in the absence of an external stimulus.,MedDRA:10019063:Hallucination,,,,,E02|E0203,,
,Lethargy,,2560,C50412,E0204,Characterized by a lack of vitality or energy.,MedDRA:10024264:Lethargy,,,,,E02|E0204,,
,Suicidal Ideation,,4429,C80102,E0205,Thoughts of taking one's own life.,MedDRA:10042458:Suicidal ideation,,,,,E02|E0205,,
,"Unspecified Mental, Emotional or Behavioural Problem",,4430,C172050,E0206,"The report describes a non-specific Mental, Emotional or Behavioural problem. Note: Please use ""Appropriate Term / Code Not Available"" if the report describes a specific problem but the relevant term does not exist.",,,,,Term was added on 18 March 2020 for cases where the category of a health effect was reported but with no further details.,E02|E0206,,
,Delirium,,4592,C2981,E0207,"A usually reversible condition characterized by the acute and sudden development of confusion, illusions, movement changes, inattentiveness, agitation and hallucinations. ",MedDRA:10012218:Delirium,,,,"Term was added on 27 January 2022. For details, see comment No. 36 of the Change Log (Release Number 2022).",E02|E0207,,
,Psychosis,,4593,C78576,E0208,"A mental disorder characterized by personality change, impaired functioning and loss of touch with reality.",MedDRA:10037234:Psychosis,,,,"Term was added on 27 January 2022. For details, see comment No. 37 of the Change Log (Release Number 2022).",E02|E0208,,
,Sleepiness/Drowsiness/Somnolence,,4850,C198676,E0209,The sensation of struggling to remain awake.,MedDRA:10041349:Somnolence,,,,"Term was added on 31 January 2023. For details, see comment No. 77 of the Change Log (Release Number 2023).",E02|E0209,,
Blood and Lymphatic System,,,,,E03,Blood and Lymphatic System,,,,Not selectable,Please use more detailed term within the hierarchy,E03,,
,Anemia,,1706,C2869,E0301,"A reduction in the number of red blood cells, the amount of hemoglobin, and/or the volume of packed red blood cells.",MedDRA:10002272:Anemia,,,,,E03|E0301,,
,,Hemolytic Anemia,2279,C34376,E030101,Anemia resulting from the premature destruction of the peripheral blood red cells.,MedDRA:10019493:Hemolytic anemia,,,,,E03|E0301|E030101,,
,Coagulation Disorder,,1779,C2902,E0302,A condition in which there is a deviation from or interruption of the normal coagulation properties of the blood.,MedDRA:10009731:Coagulation disorder,,,,,E03|E0302,,
,,Disseminated Intravascular Coagulation (DIC),1813,C2992,E030201,"A pathological process where the blood starts to coagulate throughout the whole body. This depletes the body of its platelets and coagulation factors, and there is an increased risk of hemorrhage.",MedDRA:10013442:Disseminated intravascular coagulation,,,,,E03|E0302|E030201,,
,,Thrombocytopenia,4431,C3408,E030202,Low blood platelet count.,MedDRA:10043554:Thrombocytopenia,,,,,E03|E0302|E030202,,
,Hemolysis,,1886,C37965,E0303,Disruption of the integrity of the erythrocyte membrane causing release of hemoglobin.,MedDRA:10019491:Hemolysis,,,,,E03|E0303,,
,Hypervolemia,,2664,C50591,E0304,An abnormally high circulating blood volume.,MedDRA:10020920:Hypervolemia,,,,"Definition was modified on 21 January 2021 (Old definition: Too much fluid in the blood.). For details, see comment No. 2 of the Change Log.",E03|E0304,,
,Hypovolemia,,2243,C50595,E0305,An abnormally low circulating blood volume.,MedDRA:10021139:Hypovolemia,,,,,E03|E0305,,
,Sepsis,,2067,C3364,E0306,"The presence of pathogenic microorganisms in the blood stream causing a rapidly progressing systemic reaction that may lead to shock. Symptoms include fever, chills, tachycardia, and increased respiratory rate. It is a medical emergency that requires urgent medical attention.",MedDRA:10040047:Sepsis,Blood and Lymphatic System,Infections,,,E03|E0306,,
,Seroma,,2069,C50739,E0307,A tumor-like collection of serum in the tissues.,MedDRA:10040102:Seroma,,,,,E03|E0307,,
,Swollen Lymph Nodes/Glands,,4432,C50765,E0308,The presence of an enlarged lymph node.,MedDRA:10067201:Swollen lymph nodes,,,,,E03|E0308,,
,Low White Blood Cell Count,,4433,C162110,E0309,"The white blood cell count is below the normal range, including neutropenia.",MedDRA:10051617:White blood cell count low ,,,,"Definition was modified on 27 January 2022 (Old definition:The white blood cell count is below the normal range.). MedDRA mapping also updated from White blood cell count decreased (10047942) to White blood cell count low (10051617). For details, see comment No. 73 of the Change Log (Release Number 2022).",E03|E0309,,
,Unspecified Blood or Lymphatic problem,,4434,C171945,E0310,"The report describes a non-specific problem with the blood or lymphatic system. Note: Please use ""Appropriate Term / Code Not Available"" if the report describes a specific problem but the relevant term does not exist.",,,,,Term was added on 18 March 2020 for cases where the category of a health effect was reported but with no further details.,E03|E0310,,
,High White Blood Cell Count,,4594,C35524,E0311,The white blood cell count is above the normal range.,MedDRA:10051771:White blood cell count high,,,,"Term was added on 27 January 2022. For details, see comment No. 79 of the Change Log (Release Number 2022).",E03|E0311,,
,Transfusion Reaction,,4596,C187274,E0312,"Adverse events associated with the transfusion of whole blood or one of its components, most commonly a hemolytic reaction to cross-typed blood. ",MedDRA:10044359:Transfusion reaction,,,,"Term was added on 27 January 2022. For details, see comment No. 202 of the Change Log (Release Number 2022).",E03|E0312,,
,Blood Protein Abnormal,,4595,C187275,E0313,"One or more of the blood protein levels being higher or lower than normal (e.g. Albumin, C-reactive Protein).",,,,,"Term was added on 27 January 2022. For details, see comment No. 108 / 111 of the Change Log (Release Number 2022).",E03|E0313,,
,Electrolyte Imbalance,,2196,C50545,E1202,"Higher or lower than normal values for the serum electrolytes; usually affecting Na, K, Cl, Ca, CO2, BUN.",MedDRA:10014418:Electrolyte imbalance,"Endocrine, Metabolism and Nutrition",Blood and Lymphatic System,,,E03|E1202,,
,,Hypernatremia,2242,C37970,E120201,Higher than normal levels of sodium in the circulating blood.,MedDRA:10020680:Hypernatremia,"Endocrine, Metabolism and Nutrition",Blood and Lymphatic System,,,E03|E1202|E120201,,
,,Hyponatremia,4494,C37976,E120202,Lower than normal levels of sodium in the circulating blood.,MedDRA:10021038:Hyponatremia,"Endocrine, Metabolism and Nutrition",Blood and Lymphatic System,,,E03|E1202|E120202,,
Immune System,,,,,E04,Immune System,,,,Not selectable,Please use more detailed term within the hierarchy,E04,,
,Autoimmune Disorder,,1732,C2889,E0401,"A disorder resulting from loss of function or tissue destruction of an organ or multiple organs, arising from humoral or cellular immune responses of the individual to his own tissue constituents.",MedDRA:10061664:Autoimmune disorder,,,,,E04|E0401,,
,Hypersensitivity/Allergic reaction,,1907,C3114,E0402,A local or general reaction of an organism following contact with a specific allergen to which it has been previously exposed and to which it has become sensitized.,MedDRA:10020751:Hypersensitivity,,,,,E04|E0402,,
,,Anaphylactic Shock,1703,C50460,E040201,"Progression of anaphylaxis into systemic shock, which is characterized by significant reduction in tissue perfusion which leads to hypoxia and hypotension, and can lead to death if untreated.",MedDRA:10002199:Anaphylactic shock,Immune System,Generalized Disorders,,,E04|E0402|E040201,,
,,Anaphylactoid / Anaphylaxis,2218,C193466,E040202,"Acute immune response that occurs from exposure to an allergen. For conditions which have progressed to systemic shock, use E040201 - Anaphylactic Shock.",MedDRA:10002218:Anaphylaxis,Immune System,Generalized Disorders,,"Definition was modified on 31 January 2023 (Old definition: Resembling anaphylaxis.) MedDRA mapping also updated from Anaphylactoid reaction (10002216) to Anaphylaxis (10002218). For details, see comment No. 78 of the Change Log (Release Number 2023).",E04|E0402|E040202,,
,,Local Reaction,2035,C50419,E040203,"A regionally-limited response to an antigen, which may include inflammation, induration, erythema, pruritus or pain.",MedDRA:10024769:Local reaction,,,,,E04|E0402|E040203,,
,Immunodeficiency,,2156,C3131,E0403,A deficiency of immune response or a disorder characterized by deficient immune response.,MedDRA:10061598:Immunodeficiency,,,,,E04|E0403,,
,Positive antinuclear antibodies (ANA),,2015,C50701,E0404,"Indicates that antibodies directed against nuclear antigens have been detected. Almost invariably found in systemic lupus erythematosus and are frequently found in rheumatoid arthritis, scleroderma, Sjogren's Syndrome and mixed connective tissue disease.",MedDRA:10060055:Antinuclear antibody positive,,,,,E04|E0404,,
,Unspecified Immune System Problem,,4435,C3507,E0405,"The report describes a non-specific problem with the immune system. Note: Please use ""Appropriate Term / Code Not Available"" if the report describes a specific problem but the relevant term does not exist.",,,,,Term was added on 18 March 2020 for cases where the category of a health effect was reported but with no further details.,E04|E0405,,
Vascular System,,,,,E05,Vascular System,,,,Not selectable,Please use more detailed term within the hierarchy,E05,,
,Cerebral Hyperperfusion Syndrome,,4404,C171953,E0104,Unexpected increase in cerebral blood flow after carotid endarterectomy (CEA) or carotid artery stenting (CAS).,MedDRA:10064730:Cerebral hyperperfusion syndrome,Nervous System,Vascular System,,,E05|E0104,,
,Aneurysm,,1708,C26693,E0501,Bulging or ballooning in an area of an artery secondary to arterial wall weakening.,MedDRA:10002329:Aneurysm,,,,,E05|E0501,,
,,Ruptured Aneurysm,4436,C26999,E050101,"An aneurysm that has burst, resulting in hemorrhage into adjacent tissues.",MedDRA:10048380:Aneurysm ruptured,,,,,E05|E0501|E050101,,
,,Aneurysm expansion,4597,C187276,E050102,Expansion of aneurysm.,MedDRA:10069506:Aneurysm enlargement,,,,"Term was added on 27 January 2022. For details, see comment No. 185 of the Change Log (Release Number 2022).",E05|E0501|E050102,,
,Arteriosclerosis/ Atherosclerosis,,4437,C34398,E0502,A vascular disorder characterized by thickening and hardening of the walls of the arteries. Build-up of fatty material and calcium deposition in the arterial wall resulting in partial or complete occlusion of the arterial lumen.,MedDRA:10003210:Arteriosclerosis,,,,,E05|E0502,,
,Embolism/Embolus,,4438,C26759,E0503,"The blockage of a blood vessel lumen by air or solid material such as blood clot or other tissues (e.g., adipose tissue, cancer cells) that have migrated from another anatomic site.",MedDRA:10061169:Embolism,,,,,E05|E0503,,
,,Air Embolism,1697,C50455,E050301,The presence of bubbles of air in the vascular system; occurrence is related to the entry of air into the venous circulation following trauma or surgery.,MedDRA:10001526:Air embolism,,,,,E05|E0503|E050301,,
,,Foreign Body Embolism,4439,C171980,E050302,Type of embolism when lumen of vessel or ductus is occluded by part of device.,MedDRA:10075247:Foreign body embolism,,,,,E05|E0503|E050302,,
,,Pulmonary Embolism,1498,C50713,E050303,"The obstruction of the pulmonary artery or one of its branches by an embolus, sometimes associated with infarction of the lung.",MedDRA:10037377:Pulmonary embolism,Vascular System,Respiratory System,,,E05|E0503|E050303,,
,,Thromboembolism,2654,C28195,E050304,Occlusion of the lumen of a vessel by a thrombus that has migrated from a distal site via the blood stream.,MedDRA:10043566:Thromboembolism,,,,,E05|E0503|E050304,,
